"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 12- 09","4,667.45","4,691.00","4,695.26","4,665.98","","-0.72%"
"2021- 12- 08","4,701.21","4,690.86","4,705.06","4,674.52","","0.31%"
"2021- 12- 07","4,686.75","4,631.97","4,694.04","4,631.97","","2.07%"
"2021- 12- 06","4,591.67","4,548.37","4,612.60","4,540.51","","1.17%"
"2021- 12- 03","4,538.43","4,589.49","4,608.03","4,495.12","","-0.84%"
"2021- 12- 02","4,577.10","4,504.73","4,595.46","4,504.73","","1.42%"
"2021- 12- 01","4,513.04","4,602.82","4,652.94","4,510.27","","-1.18%"
"2021- 11- 30","4,567.00","4,640.25","4,646.02","4,560.00","","-1.90%"
"2021- 11- 29","4,655.27","4,628.75","4,672.95","4,625.26","","1.32%"
"2021- 11- 26","4,594.62","4,664.63","4,664.63","4,585.43","","-2.27%"
"2021- 11- 24","4,701.46","4,675.78","4,702.87","4,659.89","","0.23%"
"2021- 11- 23","4,690.70","4,678.48","4,699.39","4,652.66","","0.17%"
"2021- 11- 22","4,682.95","4,712.00","4,743.83","4,682.17","","-0.32%"
"2021- 11- 19","4,697.96","4,708.44","4,717.75","4,694.22","","-0.18%"
"2021- 11- 18","4,706.64","4,700.72","4,708.75","4,672.78","","0.38%"
"2021- 11- 17","4,688.67","4,701.50","4,701.50","4,684.41","","-0.26%"
"2021- 11- 16","4,700.90","4,679.42","4,714.95","4,679.42","","0.39%"
"2021- 11- 15","4,682.81","4,689.30","4,697.42","4,672.86","","0.00%"
"2021- 11- 12","4,682.85","4,655.24","4,688.47","4,650.77","","0.72%"
"2021- 11- 11","4,649.27","4,659.39","4,664.55","4,648.31","","0.06%"
"2021- 11- 10","4,646.71","4,670.26","4,684.85","4,630.86","","-0.82%"
"2021- 11- 09","4,685.25","4,707.25","4,708.53","4,670.87","","-0.35%"
"2021- 11- 08","4,701.70","4,701.48","4,714.92","4,694.39","","0.09%"
"2021- 11- 05","4,697.53","4,699.26","4,718.50","4,681.32","","0.37%"
"2021- 11- 04","4,680.06","4,662.93","4,683.00","4,662.59","","0.42%"
"2021- 11- 03","4,660.57","4,630.65","4,663.46","4,621.19","","0.65%"
"2021- 11- 02","4,630.65","4,613.34","4,635.15","4,613.34","","0.37%"
"2021- 11- 01","4,613.67","4,610.62","4,620.34","4,595.06","","0.18%"
"2021- 10- 29","4,605.38","4,572.87","4,608.08","4,567.59","","0.19%"
"2021- 10- 28","4,596.42","4,562.84","4,597.55","4,562.84","","0.98%"
"2021- 10- 27","4,551.68","4,580.22","4,584.57","4,551.66","","-0.51%"
"2021- 10- 26","4,574.79","4,578.69","4,598.53","4,569.17","","0.18%"
"2021- 10- 25","4,566.48","4,553.69","4,572.62","4,537.36","","0.47%"
"2021- 10- 22","4,544.90","4,546.12","4,559.67","4,524.00","","-0.11%"
"2021- 10- 21","4,549.78","4,532.24","4,551.44","4,526.89","","0.30%"
"2021- 10- 20","4,536.19","4,524.42","4,540.87","4,524.40","","0.37%"
"2021- 10- 19","4,519.63","4,497.34","4,520.40","4,496.41","","0.74%"
"2021- 10- 18","4,486.48","4,463.72","4,488.75","4,447.47","","0.34%"
"2021- 10- 15","4,471.37","4,447.69","4,475.82","4,447.69","","0.75%"
"2021- 10- 14","4,438.23","4,386.75","4,439.73","4,386.75","","1.71%"
"2021- 10- 13","4,363.80","4,358.01","4,372.87","4,329.92","","0.30%"
"2021- 10- 12","4,350.64","4,368.31","4,374.89","4,342.09","","-0.24%"
"2021- 10- 11","4,361.19","4,385.44","4,415.88","4,360.59","","-0.69%"
"2021- 10- 08","4,391.36","4,406.51","4,412.02","4,386.22","","-0.19%"
"2021- 10- 07","4,399.76","4,383.73","4,429.97","4,383.73","","0.83%"
"2021- 10- 06","4,363.55","4,319.57","4,365.57","4,290.49","","0.41%"
"2021- 10- 05","4,345.72","4,309.87","4,369.23","4,309.87","","1.05%"
"2021- 10- 04","4,300.46","4,348.84","4,355.51","4,278.94","","-1.30%"
"2021- 10- 01","4,357.05","4,317.16","4,375.19","4,288.52","","1.15%"
"2021- 09- 30","4,307.54","4,370.67","4,382.55","4,306.24","","-1.19%"
"2021- 09- 29","4,359.46","4,362.41","4,385.57","4,355.08","","0.16%"
"2021- 09- 28","4,352.63","4,419.54","4,419.54","4,346.33","","-2.04%"
"2021- 09- 27","4,443.11","4,442.12","4,457.30","4,436.19","","-0.28%"
"2021- 09- 24","4,455.48","4,438.04","4,463.12","4,430.27","","0.15%"
"2021- 09- 23","4,448.98","4,406.75","4,465.40","4,406.75","","1.21%"
"2021- 09- 22","4,395.64","4,367.43","4,416.75","4,367.43","","0.95%"
"2021- 09- 21","4,354.18","4,374.45","4,394.87","4,347.96","","-0.08%"
"2021- 09- 20","4,357.73","4,402.95","4,402.95","4,305.91","","-1.70%"
"2021- 09- 17","4,432.99","4,469.74","4,471.52","4,427.76","","-0.91%"
"2021- 09- 16","4,473.76","4,477.09","4,485.87","4,443.80","","-0.15%"
"2021- 09- 15","4,480.70","4,447.49","4,486.87","4,438.37","","0.85%"
"2021- 09- 14","4,443.05","4,479.33","4,485.68","4,435.46","","-0.57%"
"2021- 09- 13","4,468.73","4,474.81","4,492.99","4,445.70","","0.23%"
"2021- 09- 10","4,458.58","4,506.92","4,520.47","4,457.66","","-0.77%"
"2021- 09- 09","4,493.28","4,513.02","4,529.90","4,492.07","","-0.46%"
"2021- 09- 08","4,514.07","4,518.09","4,521.79","4,493.95","","-0.13%"
"2021- 09- 07","4,520.03","4,535.38","4,535.38","4,513.00","","-0.34%"
"2021- 09- 03","4,535.43","4,532.42","4,541.45","4,521.30","","-0.03%"
"2021- 09- 02","4,536.95","4,534.48","4,545.85","4,524.66","","0.28%"
"2021- 09- 01","4,524.09","4,528.80","4,537.11","4,522.02","","0.03%"
"2021- 08- 31","4,522.68","4,529.75","4,531.39","4,515.80","","-0.13%"
"2021- 08- 30","4,528.79","4,513.76","4,537.36","4,513.76","","0.43%"
"2021- 08- 27","4,509.37","4,474.10","4,513.33","4,474.10","","0.88%"
"2021- 08- 26","4,469.91","4,493.75","4,495.90","4,468.99","","-0.58%"
"2021- 08- 25","4,496.19","4,490.45","4,501.71","4,485.66","","0.22%"
"2021- 08- 24","4,486.23","4,484.40","4,492.81","4,482.28","","0.15%"
"2021- 08- 23","4,479.54","4,450.29","4,489.88","4,450.29","","0.85%"
"2021- 08- 20","4,441.67","4,410.56","4,444.35","4,406.80","","0.81%"
"2021- 08- 19","4,405.80","4,382.44","4,418.61","4,367.73","","0.13%"
"2021- 08- 18","4,400.27","4,440.94","4,454.32","4,397.59","","-1.07%"
"2021- 08- 17","4,448.08","4,462.12","4,462.12","4,417.83","","-0.70%"
"2021- 08- 16","4,479.66","4,461.65","4,480.26","4,437.66","","0.26%"
"2021- 08- 13","4,468.00","4,464.84","4,468.37","4,460.82","","0.16%"
"2021- 08- 12","4,460.84","4,446.08","4,461.77","4,435.96","","0.30%"
"2021- 08- 11","4,447.70","4,442.18","4,449.44","4,436.42","","0.25%"
"2021- 08- 10","4,436.75","4,435.79","4,445.21","4,430.03","","0.10%"
"2021- 08- 09","4,432.35","4,437.77","4,439.39","4,424.74","","-0.09%"
"2021- 08- 06","4,436.52","4,429.07","4,440.82","4,429.07","","0.17%"
"2021- 08- 05","4,429.10","4,408.86","4,429.76","4,408.86","","0.60%"
"2021- 08- 04","4,402.68","4,415.95","4,416.17","4,400.23","","-0.46%"
"2021- 08- 03","4,423.15","4,392.74","4,423.79","4,373.00","","0.82%"
"2021- 08- 02","4,387.11","4,406.86","4,422.18","4,384.81","","-0.19%"
"2021- 07- 30","4,395.26","4,395.12","4,412.25","4,389.65","","-0.54%"
"2021- 07- 29","4,419.15","4,403.59","4,429.97","4,403.59","","0.42%"
"2021- 07- 28","4,400.65","4,402.95","4,415.47","4,387.01","","-0.02%"
"2021- 07- 27","4,401.46","4,416.38","4,416.38","4,372.51","","-0.47%"
"2021- 07- 26","4,422.23","4,409.58","4,422.73","4,405.45","","0.24%"
"2021- 07- 23","4,411.80","4,381.20","4,415.18","4,381.20","","1.01%"
"2021- 07- 22","4,367.48","4,361.27","4,369.31","4,350.06","","0.20%"
"2021- 07- 21","4,358.69","4,331.13","4,359.70","4,331.13","","0.82%"
"2021- 07- 20","4,323.21","4,265.11","4,336.84","4,262.05","","1.52%"
"2021- 07- 19","4,258.63","4,296.40","4,296.40","4,233.13","","-1.58%"
"2021- 07- 16","4,327.16","4,367.43","4,375.09","4,322.53","","-0.75%"
"2021- 07- 15","4,360.03","4,369.02","4,369.02","4,340.70","","-0.33%"
"2021- 07- 14","4,374.30","4,380.11","4,393.68","4,362.36","","0.12%"
"2021- 07- 13","4,369.21","4,381.07","4,392.37","4,366.92","","-0.35%"
"2021- 07- 12","4,384.63","4,372.41","4,386.68","4,364.03","","0.35%"
"2021- 07- 09","4,369.55","4,329.38","4,371.60","4,329.38","","1.13%"
"2021- 07- 08","4,320.82","4,321.07","4,330.88","4,289.37","","-0.86%"
"2021- 07- 07","4,358.13","4,351.01","4,361.88","4,329.79","","0.34%"
"2021- 07- 06","4,343.54","4,356.46","4,356.46","4,314.37","","-0.20%"
"2021- 07- 02","4,352.34","4,326.60","4,355.43","4,326.60","","0.75%"
"2021- 07- 01","4,319.94","4,300.73","4,320.66","4,300.73","","0.52%"
"2021- 06- 30","4,297.50","4,290.65","4,302.43","4,287.96","","0.13%"
"2021- 06- 29","4,291.80","4,293.21","4,300.52","4,287.04","","0.03%"
"2021- 06- 28","4,290.61","4,284.90","4,292.14","4,274.67","","0.23%"
"2021- 06- 25","4,280.70","4,274.45","4,286.12","4,271.16","","0.33%"
"2021- 06- 24","4,266.49","4,256.97","4,271.28","4,256.97","","0.58%"
"2021- 06- 23","4,241.84","4,249.27","4,256.60","4,241.43","","-0.11%"
"2021- 06- 22","4,246.44","4,224.61","4,255.84","4,217.27","","0.51%"
"2021- 06- 21","4,224.79","4,173.40","4,226.24","4,173.40","","1.40%"
"2021- 06- 18","4,166.45","4,204.78","4,204.78","4,164.40","","-1.31%"
"2021- 06- 17","4,221.86","4,220.37","4,232.29","4,196.05","","-0.04%"
"2021- 06- 16","4,223.70","4,248.87","4,251.89","4,202.45","","-0.54%"
"2021- 06- 15","4,246.59","4,255.28","4,257.16","4,238.35","","-0.20%"
"2021- 06- 14","4,255.15","4,248.31","4,255.59","4,234.07","","0.18%"
"2021- 06- 11","4,247.44","4,242.90","4,248.38","4,232.25","","0.19%"
"2021- 06- 10","4,239.18","4,228.56","4,249.74","4,220.34","","0.47%"
"2021- 06- 09","4,219.55","4,232.99","4,237.09","4,218.74","","-0.18%"
"2021- 06- 08","4,227.26","4,233.81","4,236.74","4,208.41","","0.02%"
"2021- 06- 07","4,226.52","4,229.34","4,232.34","4,215.66","","-0.08%"
"2021- 06- 04","4,229.89","4,206.05","4,233.45","4,206.05","","0.88%"
"2021- 06- 03","4,192.85","4,191.43","4,204.39","4,167.93","","-0.36%"
"2021- 06- 02","4,208.12","4,206.82","4,217.37","4,198.27","","0.14%"
"2021- 06- 01","4,202.04","4,216.52","4,234.12","4,197.59","","-0.05%"
"2021- 05- 28","4,204.11","4,210.77","4,218.36","4,203.57","","0.08%"
"2021- 05- 27","4,200.88","4,201.94","4,213.38","4,197.78","","0.12%"
"2021- 05- 26","4,195.99","4,191.59","4,202.61","4,184.11","","0.19%"
"2021- 05- 25","4,188.13","4,205.94","4,213.42","4,182.52","","-0.21%"
"2021- 05- 24","4,197.05","4,170.16","4,209.52","4,170.16","","0.99%"
"2021- 05- 21","4,155.86","4,168.61","4,188.72","4,151.72","","-0.08%"
"2021- 05- 20","4,159.12","4,121.97","4,172.80","4,121.97","","1.06%"
"2021- 05- 19","4,115.68","4,098.45","4,116.93","4,061.41","","-0.29%"
"2021- 05- 18","4,127.83","4,165.94","4,169.15","4,125.99","","-0.85%"
"2021- 05- 17","4,163.29","4,169.92","4,171.92","4,142.69","","-0.25%"
"2021- 05- 14","4,173.85","4,129.58","4,183.13","4,129.58","","1.49%"
"2021- 05- 13","4,112.50","4,074.99","4,131.58","4,074.99","","1.22%"
"2021- 05- 12","4,063.04","4,130.55","4,134.73","4,056.88","","-2.14%"
"2021- 05- 11","4,152.10","4,150.34","4,162.04","4,111.53","","-0.87%"
"2021- 05- 10","4,188.43","4,228.29","4,236.39","4,188.13","","-1.04%"
"2021- 05- 07","4,232.60","4,210.34","4,238.04","4,201.64","","0.74%"
"2021- 05- 06","4,201.62","4,169.14","4,202.70","4,147.33","","0.82%"
"2021- 05- 05","4,167.59","4,177.06","4,187.72","4,160.94","","0.07%"
"2021- 05- 04","4,164.66","4,179.04","4,179.04","4,128.59","","-0.67%"
"2021- 05- 03","4,192.66","4,191.98","4,209.39","4,188.03","","0.27%"
"2021- 04- 30","4,181.17","4,198.10","4,198.10","4,174.85","","-0.72%"
"2021- 04- 29","4,211.47","4,206.14","4,218.78","4,176.81","","0.68%"
"2021- 04- 28","4,183.18","4,185.14","4,201.53","4,181.78","","-0.08%"
"2021- 04- 27","4,186.72","4,188.25","4,193.35","4,176.22","","-0.02%"
"2021- 04- 26","4,187.62","4,185.03","4,194.19","4,182.36","","0.18%"
"2021- 04- 23","4,180.17","4,138.78","4,194.17","4,138.78","","1.09%"
"2021- 04- 22","4,134.98","4,170.46","4,179.57","4,123.69","","-0.92%"
"2021- 04- 21","4,173.42","4,128.42","4,175.02","4,126.35","","0.93%"
"2021- 04- 20","4,134.94","4,159.18","4,159.18","4,118.38","","-0.68%"
"2021- 04- 19","4,163.26","4,179.80","4,180.81","4,150.47","","-0.53%"
"2021- 04- 16","4,185.47","4,174.14","4,191.31","4,170.75","","0.36%"
"2021- 04- 15","4,170.42","4,139.76","4,173.49","4,139.76","","1.11%"
"2021- 04- 14","4,124.66","4,141.58","4,151.69","4,120.87","","-0.41%"
"2021- 04- 13","4,141.59","4,130.10","4,148.00","4,124.43","","0.33%"
"2021- 04- 12","4,127.99","4,124.71","4,131.76","4,114.82","","-0.02%"
"2021- 04- 09","4,128.80","4,096.11","4,129.48","4,095.51","","0.77%"
"2021- 04- 08","4,097.17","4,089.95","4,098.19","4,082.54","","0.42%"
"2021- 04- 07","4,079.95","4,074.29","4,083.13","4,068.31","","0.15%"
"2021- 04- 06","4,073.94","4,075.57","4,086.23","4,068.14","","-0.10%"
"2021- 04- 05","4,077.91","4,034.44","4,083.42","4,034.44","","1.44%"
"2021- 04- 01","4,019.87","3,992.78","4,020.63","3,992.78","","1.18%"
"2021- 03- 31","3,972.89","3,967.25","3,994.41","3,966.98","","0.36%"
"2021- 03- 30","3,958.55","3,963.34","3,968.01","3,944.35","","-0.32%"
"2021- 03- 29","3,971.09","3,969.31","3,981.83","3,943.25","","-0.09%"
"2021- 03- 26","3,974.54","3,917.12","3,978.19","3,917.12","","1.66%"
"2021- 03- 25","3,909.52","3,879.34","3,919.54","3,853.50","","0.52%"
"2021- 03- 24","3,889.14","3,919.93","3,942.08","3,889.07","","-0.55%"
"2021- 03- 23","3,910.52","3,937.60","3,949.13","3,901.57","","-0.76%"
"2021- 03- 22","3,940.59","3,916.48","3,955.31","3,914.16","","0.70%"
"2021- 03- 19","3,913.10","3,913.14","3,930.12","3,886.75","","-0.06%"
"2021- 03- 18","3,915.46","3,953.50","3,969.62","3,910.86","","-1.48%"
"2021- 03- 17","3,974.12","3,949.57","3,983.87","3,935.74","","0.29%"
"2021- 03- 16","3,962.71","3,973.59","3,981.04","3,953.44","","-0.16%"
"2021- 03- 15","3,968.94","3,942.96","3,970.08","3,923.54","","0.65%"
"2021- 03- 12","3,943.34","3,924.52","3,944.99","3,915.21","","0.10%"
"2021- 03- 11","3,939.34","3,915.54","3,960.27","3,915.54","","1.04%"
"2021- 03- 10","3,898.81","3,891.99","3,917.35","3,885.73","","0.60%"
"2021- 03- 09","3,875.44","3,851.93","3,903.76","3,851.93","","1.42%"
"2021- 03- 08","3,821.35","3,844.39","3,881.06","3,819.25","","-0.54%"
"2021- 03- 05","3,841.94","3,793.58","3,851.69","3,730.19","","1.95%"
"2021- 03- 04","3,768.47","3,818.53","3,843.67","3,723.34","","-1.34%"
"2021- 03- 03","3,819.72","3,863.99","3,874.47","3,818.86","","-1.31%"
"2021- 03- 02","3,870.29","3,903.64","3,906.41","3,868.57","","-0.81%"
"2021- 03- 01","3,901.82","3,842.51","3,914.50","3,842.51","","2.38%"
"2021- 02- 26","3,811.15","3,839.66","3,861.08","3,789.54","","-0.48%"
"2021- 02- 25","3,829.34","3,915.80","3,925.02","3,814.04","","-2.45%"
"2021- 02- 24","3,925.43","3,873.71","3,928.65","3,859.60","","1.14%"
"2021- 02- 23","3,881.37","3,857.07","3,895.98","3,805.59","","0.13%"
"2021- 02- 22","3,876.50","3,885.55","3,902.92","3,874.71","","-0.77%"
"2021- 02- 19","3,906.71","3,921.16","3,930.41","3,903.07","","-0.19%"
"2021- 02- 18","3,913.97","3,915.86","3,921.98","3,885.03","","-0.44%"
"2021- 02- 17","3,931.33","3,918.50","3,933.61","3,900.43","","-0.03%"
"2021- 02- 16","3,932.59","3,939.61","3,950.43","3,923.85","","-0.06%"
"2021- 02- 12","3,934.83","3,911.65","3,937.23","3,905.78","","0.47%"
"2021- 02- 11","3,916.38","3,916.40","3,925.99","3,890.39","","0.17%"
"2021- 02- 10","3,909.88","3,920.78","3,931.50","3,884.94","","-0.03%"
"2021- 02- 09","3,911.23","3,910.49","3,918.35","3,902.64","","-0.11%"
"2021- 02- 08","3,915.59","3,892.59","3,915.77","3,892.59","","0.74%"
"2021- 02- 05","3,886.83","3,878.30","3,894.56","3,874.93","","0.39%"
"2021- 02- 04","3,871.74","3,836.66","3,872.42","3,836.66","","1.09%"
"2021- 02- 03","3,830.17","3,840.27","3,847.51","3,816.68","","0.10%"
"2021- 02- 02","3,826.31","3,791.84","3,843.09","3,791.84","","1.39%"
"2021- 02- 01","3,773.86","3,731.17","3,784.32","3,725.62","","1.61%"
"2021- 01- 29","3,714.24","3,778.05","3,778.05","3,694.12","","-1.93%"
"2021- 01- 28","3,787.38","3,755.75","3,830.50","3,755.75","","0.98%"
"2021- 01- 27","3,750.77","3,836.83","3,836.83","3,732.48","","-2.57%"
"2021- 01- 26","3,849.62","3,862.96","3,870.90","3,847.78","","-0.15%"
"2021- 01- 25","3,855.36","3,851.68","3,859.23","3,797.16","","0.36%"
"2021- 01- 22","3,841.47","3,844.24","3,852.31","3,830.41","","-0.30%"
"2021- 01- 21","3,853.07","3,857.46","3,861.45","3,845.05","","0.03%"
"2021- 01- 20","3,851.85","3,816.22","3,859.75","3,816.22","","1.39%"
"2021- 01- 19","3,798.91","3,781.88","3,804.53","3,780.37","","0.81%"
"2021- 01- 15","3,768.25","3,788.73","3,788.73","3,749.62","","-0.72%"
"2021- 01- 14","3,795.54","3,814.98","3,823.60","3,792.86","","-0.38%"
"2021- 01- 13","3,809.84","3,802.23","3,820.96","3,791.50","","0.23%"
"2021- 01- 12","3,801.19","3,801.62","3,810.78","3,776.51","","0.04%"
"2021- 01- 11","3,799.61","3,803.14","3,817.86","3,789.02","","-0.66%"
"2021- 01- 08","3,824.68","3,815.05","3,826.69","3,783.60","","0.55%"
"2021- 01- 07","3,803.79","3,764.71","3,811.55","3,764.71","","1.48%"
"2021- 01- 06","3,748.14","3,712.20","3,783.04","3,705.34","","0.57%"
"2021- 01- 05","3,726.86","3,698.02","3,737.83","3,695.07","","0.71%"
"2021- 01- 04","3,700.65","3,764.61","3,769.99","3,662.71","","-1.48%"